region,size,threads,computation_time,total_time
2,64,4,0.0014,0.0016
3,64,4,0.0013,0.0015
4,64,4,0.0014,0.0016
1,64,4,0.0004,0.0006
2,64,4,0.0013,0.0016
3,64,4,0.0013,0.0015
4,64,4,0.0014,0.0016
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0018
3,64,4,0.0013,0.0015
4,64,4,0.0014,0.0017
1,64,4,0.0004,0.0006
2,64,4,0.0013,0.0016
3,64,4,0.0013,0.0016
4,64,4,0.0014,0.0016
1,64,4,0.0004,0.0006
2,64,4,0.0014,0.0016
3,64,4,0.0013,0.0015
4,64,4,0.0014,0.0016
1,64,4,0.0004,0.0006
2,64,4,0.0014,0.0016
3,64,4,0.0013,0.0015
4,64,4,0.0014,0.0017
1,64,8,0.0089,0.0092
2,64,8,0.0009,0.0012
3,64,8,0.0008,0.0011
4,64,8,0.0010,0.0012
1,64,8,0.0004,0.0007
2,64,8,0.0009,0.0012
3,64,8,0.0008,0.0011
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0006
2,64,8,0.0009,0.0011
3,64,8,0.0066,0.0070
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0007
2,64,8,0.0009,0.0012
3,64,8,0.0008,0.0011
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0007
2,64,8,0.0009,0.0011
3,64,8,0.0008,0.0011
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0007
2,64,8,0.0009,0.0011
3,64,8,0.0071,0.0075
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0007
2,64,8,0.0009,0.0012
3,64,8,0.0008,0.0011
4,64,8,0.0011,0.0014
1,64,8,0.0004,0.0007
2,64,8,0.0009,0.0011
3,64,8,0.0008,0.0011
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0007
2,64,8,0.0014,0.0017
3,64,8,0.0009,0.0012
4,64,8,0.0009,0.0012
1,64,8,0.0004,0.0020
2,64,8,0.0026,0.0030
3,64,8,0.0008,0.0011
4,64,8,0.0010,0.0012
1,64,16,0.0004,0.0007
2,64,16,0.0015,0.0017
3,64,16,0.0013,0.0016
4,64,16,0.0018,0.0021
1,64,16,0.0004,0.0007
2,64,16,0.0017,0.0020
3,64,16,0.0015,0.0018
4,64,16,0.0017,0.0020
1,64,16,0.0004,0.0007
2,64,16,0.0021,0.0024
3,64,16,0.0019,0.0022
4,64,16,0.0016,0.0018
1,64,16,0.0004,0.0007
2,64,16,0.0016,0.0018
3,64,16,0.0017,0.0020
4,64,16,0.0020,0.0022
1,64,16,0.0004,0.0007
2,64,16,0.0020,0.0023
3,64,16,0.0021,0.0024
4,64,16,0.0019,0.0022
1,64,16,0.0004,0.0007
2,64,16,0.0017,0.0020
3,64,16,0.0013,0.0016
4,64,16,0.0027,0.0029
1,64,16,0.0005,0.0008
2,64,16,0.0015,0.0018
3,64,16,0.0014,0.0016
4,64,16,0.0021,0.0024
1,64,16,0.0005,0.0008
2,64,16,0.0014,0.0016
3,64,16,0.0012,0.0014
4,64,16,0.0028,0.0031
1,64,16,0.0006,0.0009
2,64,16,0.0017,0.0020
3,64,16,0.0015,0.0018
4,64,16,0.0019,0.0021
1,64,16,0.0005,0.0008
2,64,16,0.0018,0.0021
3,64,16,0.0013,0.0016
4,64,16,0.0017,0.0019
1,64,32,0.0008,0.0012
2,64,32,0.0026,0.0029
3,64,32,0.0027,0.0030
4,64,32,0.0026,0.0029
1,64,32,0.0007,0.0010
2,64,32,0.0022,0.0025
3,64,32,0.0023,0.0025
4,64,32,0.0025,0.0027
1,64,32,0.0007,0.0009
2,64,32,0.0028,0.0032
3,64,32,0.0029,0.0031
4,64,32,0.0030,0.0032
1,64,32,0.0008,0.0011
2,64,32,0.0030,0.0033
3,64,32,0.0028,0.0031
4,64,32,0.0031,0.0034
